entity,index_ma,so_lan,so_file,cac_file,KHONG_NHAT_QUAN
tăng huyết áp,I10,23,21,"3,5,11,19,20,21,27,30,32,35,37,40,44,45,46,51,56,66,71,82,98",
đái tháo đường,E11.9,9,8,"16,23,33,40,45,56,76,82",
béo phì,E66.9,7,7,"11,13,26,33,40,44,66",
bệnh tim mạch do xơ vữa động mạch,I25.1,6,6,"3,5,23,53,71,73",
tim to,I51.7,5,3,"3,20,37",
rung nhĩ,I48.9,5,4,"16,28,44,91",
hẹp van động mạch chủ nghiêm trọng,I35.0,5,1,43,
phù gai thị,H47.1,5,1,59,
hội chứng não gan,K72.9,4,1,2,
tăng lipid máu,E78.5,4,4,"5,66,71,76",
viêm mô tế bào,L03.9,4,2,"13,17",
"suy tim, không đặc hiệu",I50.9,4,4,"21,33,44,71",
u ác của tuyến tiền liệt,C61,4,2,"28,82",
sỏi mật,K80.2,4,3,"28,67,70",
Đái tháo đường típ 2,E11.9,4,4,"32,35,38,71",
viêm dạ dày ruột do virus,A08.4,4,1,41,
loét tá tràng và hồi tràng,K26.9,4,1,41,
ung thư biểu mô tuyến,C18.9 || C24.0,4,2,"47,69",CÓ
thiếu máu,D64.9,4,2,"54,69",
bệnh động mạch vành,I25.1,4,4,"75,76,83,86",
xơ gan do rượu,K70.3,3,2,"2,16",
rung nhĩ kèm đáp ứng thất nhanh,I48.9,3,2,"3,32",
bệnh lý chất trắng,G93.8,3,1,7,
nốt tuyến giáp trái,E04.1,3,1,8,
"bệnh thận mạn, không đặc hiệu",N18.9,3,3,"11,21,53",
áp xe,K65.1 || L02.91,3,3,"17,52,74",CÓ
tăng sản tuyến tiền liệt,N40,3,2,"20,35",
viêm túi mật cấp,K81.0,3,1,28,
Bệnh bạch cầu dòng tủy mãn tính,C92.1,3,3,"30,32,35",
nhiễm khuẩn đường tiết niệu,N39.0,3,2,"30,49",
"tăng lipid máu, không đặc hiệu",E78.5,3,3,"35,58,73",
đào thải kháng thể hữu hình cấp tính,T86.1,3,1,36,
suy thận cấp,N17.9,3,2,"39,54",
hội chứng ruột kích thích,K58,3,1,41,
Viêm thực quản độ C,K20,3,1,41,
loét thực quản,K22.1,3,1,41,
Nhồi máu cơ tim,I21.9 || I25.2,3,3,"43,73,76",CÓ
tai biến mạch máu não,I64,3,2,"45,58",
Yếu nửa người trái,G81.9,3,1,48,
tái phát u ác trực tràng,C20,3,1,54,
ung thư biểu mô tế bào thận,C64.1 || C64.9,3,2,"54,69",CÓ
rối loạn cân bằng kiềm toan phối hợp,E87.4,3,1,54,
tăng bilirubin máu,E80.7,3,1,70,
rối loạn lo âu,F41.9,3,3,"77,84,87",
