entity,so_lan,so_file,cac_file
âm tính,17,8,"7,17,37,58,70,72,76,96"
dương tính,7,3,"28,41,69"
bình thường,6,5,"17,37,48,70,76"
bất thường,5,2,"8,14"
99,5,2,"54,63"
tăng men gan,4,2,"4,70"
26.1,4,2,"9,54"
0.01,3,2,"3,84"
2.4,3,2,"5,51"
dương tính với virus bk,3,1,36
5.1,3,1,36
5.8,3,1,36
17,3,2,"38,54"
2.2,3,1,51
24.7,3,1,54
130-150,2,1,3
thay đổi sóng T không đặc hiệu,2,1,3
mất vận động vùng đỉnh,2,1,20
túi mật căng to với dịch quanh túi mật,2,1,28
không ghi nhận huyết khối,2,1,32
xác suất thấp thuyên tắc phổi,2,1,32
86,2,1,33
0.10,2,2,"35,75"
1.2,2,2,"38,100"
65%,2,1,45
80%,2,1,46
tế bào bất thường,2,1,47
24.5,2,1,54
98.1,2,1,54
11663,2,1,54
ST chênh xuống,2,1,56
20,2,2,"63,66"
2.0,2,1,65
tăng Cr,2,1,65
6.7,2,1,70
421,2,1,70
336,2,1,70
185,2,1,70
0.9,2,1,70
chưa phát hiện bất thường trên phim chụp,2,1,92
12.0,2,1,100
6.8,2,1,100
men gan tăng,1,1,4
sốt đến 101.4,1,1,5
Tăng lên 101.8 trước thủ thuật,1,1,5
319,1,1,5
690,1,1,5
983,1,1,5
11.6,1,1,5
> 7,1,1,6
vận tốc dòng chảy tăng rõ,1,1,6
không phát hiện bất thường,1,1,7
"Tử cung đo 14,2 x 8,8 x 7,5 cm",1,1,9
Dải nội mạc tử cung không thể xác định được,1,1,9
Cả hai buồng trứng đều có vẻ bình thường,1,1,9
Không thấy dịch tự do trong túi cùng Douglas,1,1,9
Không có giãn bể thận,1,1,9
tăng nhẹ lên 4.9,1,1,10
không chẩn đoán được do không có mỡ nào trong cơ thể,1,1,10
"có thể có một tổn thương t2 tốt nhất, nhưng một số vùng không thể đánh giá tốt",1,1,10
11.3,1,1,12
26.3,1,1,16
28,1,1,16
102.9°F,1,1,17
Phổi rõ tiếng khi nghe,1,1,17
"Tim nhịp đều, không có tiếng tim bệnh lý",1,1,17
13.9,1,1,17
80,1,1,17
11,1,1,17
58,1,1,17
92,1,1,17
"ổ tụ dịch chia làm hai thùy, giới hạn và bờ không rõ. Cấu trúc tổn thương giảm âm, có hồi âm lợn cợn (vẩn đục) bên trong. Kích thước đo được khoảng 3.7 x 0.7 cm trên mặt cắt ngang. Ổ dịch có xu hướng lan lên trên và ăn sâu xuống phía dưới xương đòn.",1,1,17
sung huyết ngoại vi nhẹ nhưng không có mạch máu bên trong,1,1,17
Hình ảnh mức nước - hơi vùng ngực,1,1,20
mức nước-khí,1,1,20
"khuyết tật toàn bộ, không hồi phục, kích thước vừa phải ở thành dưới gần mấu",1,1,20
EF30,1,1,20
623,1,1,28
tăng men gan nhẹ,1,1,28
cao tới 1.0 sau đó cải thiện,1,1,28
các xét nghiệm khác có xu hướng giảm,1,1,28
chưa phát hiện bất thường,1,1,28
thai máy tốt (FM +),1,1,31
"nhiệt độ cao nhất khoảng 38,3°C",1,1,32
"38,3°C",1,1,32
39.2,1,1,35
3.0,1,1,35
1.4,1,1,35
176,1,1,35
287,1,1,35
1.4-1.6,1,1,36
Creatinine tăng,1,1,37
6.3 mẫu không tan máu,1,1,37
"6.3, mẫu không tan máu",1,1,37
.8,1,1,37
83,1,1,37
5.7,1,1,37
7.8,1,1,37
6.5,1,1,37
"21,000",1,1,37
102,1,1,38
537,1,1,38
cải thiện thành 367,1,1,38
3,1,1,38
đóng,1,1,38
32,1,1,39
lên đến 101,1,1,40
90-92%,1,1,40
93%,1,1,40
12.5,1,1,40
đáng chú ý chỉ có vếtvết protein niệu,1,1,40
âm tính x1,1,1,40
tế bào bất thườngtế bào bất thường,1,1,47
240 đến 260,1,1,50
97.5,1,1,51
85,1,1,51
18,1,1,51
14279,1,1,51
96,1,1,51
36.7°c,1,1,56
139/68 mmhg,1,1,56
67 lần/phút,1,1,56
16 lần/phút,1,1,56
100%,1,1,56
góc tăng lên,1,1,61
T97.8,1,1,63
84,1,1,63
15670,1,1,63
27.2,1,1,63
một lượng nhỏ dịch và mỡ bao quanh một quai ruột kết sigma,1,1,63
8.126.3,1,1,66
478,1,1,66
13,1,1,66
316,1,1,66
1.3,1,1,66
"12 bạch cầu, không vi khuẩn, 1 hồng cầu, âm tính nitrite",1,1,66
"dòng picc đã đặt, không có quá trình bệnh lý tim phổi cấp tính",1,1,66
không phát hiện gãy xương hoặc viêm xương tủy,1,1,66
một khối ở chỗ uốn gan,1,1,69
không có dấu hiệu bệnh lan rộng,1,1,69
tăng men gan kéo dài,1,1,70
