entity,so_lan,so_file,cac_file
chụp x-quang ngực,16,12,"1,3,12,16,20,35,37,40,50,66,84,97"
creatinine,11,4,"36,37,76,82"
kali,9,4,"37,51,84,97"
nội soi,9,1,41
siêu âm,8,5,"9,10,67,72,89"
troponin,7,6,"3,35,40,75,76,84"
chụp ct sọ não,7,1,58
inr,6,3,"35,65,91"
hct,6,1,54
điện tâm đồ,5,4,"1,56,75,97"
cấy máu,5,4,"12,28,84,96"
tổng phân tích nước tiểu,5,5,"35,37,40,84,97"
spo2,5,5,"40,51,56,91,94"
Nhịp thở,5,5,"51,56,63,91,94"
Huyết áp,5,5,"51,56,63,91,94"
sinh thiết,4,2,"10,69"
mri,4,3,"17,96,100"
bạch cầu,4,4,"17,35,84,97"
alt,4,3,"17,35,70"
chụp CT,4,2,"23,92"
test hơi thở h. pylori,4,1,41
siêu âm tim,4,3,"43,78,83"
Nhiệt độ,4,4,"51,56,91,94"
Mạch,4,4,"51,56,91,94"
ercp,4,1,70
điện tâm đồ (ecg),3,1,3
chụp cắt lớp vi tính sọ não,3,2,"3,23"
chọc dò dịch não tủy,3,1,7
Chụp động mạch vành,3,3,"14,83,86"
chụp ct ngực không thuốc cản quang,3,1,20
siêu âm vùng gan mật,3,1,28
độ bão hòa oxy,3,2,"33,63"
creatinin,3,3,"35,36,97"
ast,3,2,"35,70"
pcr,3,1,36
siêu âm thận,3,1,36
k,3,1,36
ag (anion gap),3,2,"38,66"
xét nghiệm phân tìm cryptosporidium,3,1,41
cholangiogram,3,1,47
lấy mẫu bằng bàn chải,3,1,47
cấy nước tiểu,3,3,"84,96,97"
monitor holter,2,1,1
phân tích nước tiểu,2,1,1
bảng công thức sinh hóa máu cơ bản,2,1,3
bảng công thức máu,2,1,3
bảng chức năng gan,2,1,3
bản phân tích nước tiểu,2,1,3
nội soi thực quản - dạ dày - tá tràng,2,1,4
Xét nghiệm chức năng gan,2,1,4
Nội soi mật tụy ngược dòng,2,2,"4,5"
chụp ct sọ,2,1,7
đánh giá thần kinh,2,1,7
các băng nhóm oligoclonal,2,1,7
chọc hút,2,1,8
chọc hút bằng kim nhỏ,2,1,8
huyết cầu tố,2,1,9
công thức máu (cbc),2,2,"12,74"
nghiệm pháp gắng sức,2,2,"14,56"
x-quang,2,2,"17,61"
siêu âm vùng cổ phải (scm),2,1,17
chụp cắt lớp vi tính mạch máu (ctma) ngực,2,1,18
siêu âm tim qua thành ngực (siêu âm tim qua thành ngực),2,1,20
chụp ct sọ não không thuốc cản quang,2,1,22
Siêu âm mạch máu chi trên,2,1,32
bnp,2,2,"37,84"
cr (creatinine),2,2,"38,100"
siêu âm tim gắng sức dobutamine,2,1,43
LHC,2,1,43
chụp mạch máu,2,1,45
chụp cắt lớp vi tính (ct),2,1,46
sinh thiết và lấy mẫu bằng bàn chải,2,1,47
chụp ct não,2,1,48
dấu hiệu sinh tồn,2,1,54
xét nghiệm gắng sức,2,1,56
