entity,index_ma,so_lan,so_file,cac_file,KHONG_NHAT_QUAN
tylenol,161,8,4,"12,17,40,63",
gleevec,282388,7,2,"30,35",
omeprazole,7646,5,2,"4,41",
bactrim,10829 || 197454,5,3,"13,74,96",CÓ
lasix,4603,5,2,"71,88",
vancomycin,11124,4,3,"24,54,96",
cellcept,68149,4,1,36,
azithromycin,18631,4,3,"40,50,51",
amoxicillin,723,4,1,50,
doxycycline,3640,3,2,"1,13",
vicodin,856987,3,1,19,
coumadin,11289,3,2,"27,91",
allopurinol,519,3,1,30,
thuốc giảm đau opioid,7052,3,1,34,
prograf,42316,3,1,36,
Torsemide,38413,3,1,37,
isosorbide,6057,3,1,37,
carvedilol,20352,3,1,37,
percocet,209459,3,1,64,
metoprolol 25mg po bid,866924,2,1,1,
atenolol,1202,2,1,1,
Thở oxy tại nhà,7806,2,1,13,
albuterol,435,2,2,"32,84",
crestor,301542,2,1,37,
mucinex d,352777,2,1,40,
methadone,6813,2,2,"42,88",
ntg,4917,2,1,44,
prednisone giảm liều,8640,2,1,50,
prednisone 40 mg/ngày,8640,2,1,50,
ceftazidime,2551,2,1,54,
amiodarone,703,2,1,54,
bicarbonate,36676,2,1,54,
intravenous fluids,9863,2,1,58,
ciproflagyl,2551,2,1,64,
acetaminophen 500mg,198440,2,1,70,
thuốc an thần,3322,2,1,70,
cipro,2551,2,1,74,
heparin,5224,2,2,"76,91",
klonopinclonidine,2598,2,1,77,
flagyl,6135,2,1,89,
aspirin 325mg x 1,308416,1,1,1,
NSAID,5640,1,1,4,
NSAIDs,5640,1,1,4,
levophed,227559,1,1,5,
propofol,8782,1,1,5,
phentolamine,8163,1,1,5,
seroquel,51272,1,1,7,
iron,90176,1,1,9,
liệu pháp lợi tiểu,9997,1,1,11,
levofloxacin,82122,1,1,12,
Corticoid liều cao kéo dài,8640,1,1,13,
cotrimoxazol,197454,1,1,13,
doxycyclinebactrim,197454;3640,1,1,13,
yếu tố IX đậm đặc,1670383,1,1,15,
Điều trị chống đông,11289,1,1,15,
advil,5640,1,1,17,
metoprolol,6918,1,1,20,
desmopressin,3251,1,1,20,
aspirin 325mg hằng ngày,198466,1,1,22,
levafloxacin,82122,1,1,24,
cephalexin,2231,1,1,24,
albuterolipratropium nebs x2,745678,1,1,27,
metoprolol 5mg iv x2,866412,1,1,27,
eliquis,1364430,1,1,28,
guaifenesin,4493,1,1,32,
furosemide 40 mg,197589,1,1,32,
bumetanide 2mg iv,1808,1,1,33,
vancomycin 1 gram,11124,1,1,33,
levofloxacin 750mg iv,82122,1,1,33,
aspirin 325mg,198466,1,1,33,
albuterolipratropium nebulizer,630208,1,1,33,
methylprednisolone 125mg iv,6902,1,1,33,
azathioprine,1256,1,1,36,
Insulin glargine,274783,1,1,37,
Rosuvastatin (Crestor),301542,1,1,37,
glargine,274783,1,1,37,
insulin,253182,1,1,37,
dextrose,4850,1,1,37,
iv lasix 40 mg,4603,1,1,37,
80mg po lasix,4603,1,1,44,
2 sl ntg,4917,1,1,44,
asa,1191,1,1,44,
80mg lasix iv,4603,1,1,44,
8mg morphine,7052,1,1,44,
1mg dilaudid,3423,1,1,44,
po metoprolol,6918,1,1,44,
10mg iv diltiazem,3443,1,1,44,
albuterol nebs q4h,435,1,1,50,
z-pack,18631,1,1,50,
combivent nebs x3 every 20 minutes,435;7213,1,1,50,
iv magnesium,6585,1,1,50,
30 mg of prednisone,8640,1,1,50,
kali 80mEq,8591,1,1,51,
40meq po k,8591,1,1,51,
40meq iv k,8591,1,1,51,
Augmentin đường uống trong 10 ngày,48203;723,1,1,52,
1 L ns,9863,1,1,54,
Truyền dịch tĩnh mạch,9863,1,1,58,
colace,82000,1,1,63,
ertapenem,596926,1,1,66,
nac,197,1,1,70,
aspirin 81mg,243670,1,1,73,
clopidogrel,32968,1,1,73,
prasugrel,613391,1,1,73,
metoprolol succinate 100mg daily,866452,1,1,73,
lasix 40mg daily,310429,1,1,73,
atorvastatin 80mg daily,617320,1,1,73,
lisinopril 2.5mg daily,314076,1,1,73,
ranexa 500mg daily,616493,1,1,73,
iv morphine,7052,1,1,74,
toradol,35827,1,1,74,
nitroglycerin dưới lưỡi 1 liều,4917,1,1,75,
3 viên nitroglycerin,4917,1,1,75,
aspirin,1191,1,1,75,
4 liều nitroglycerin,4917,1,1,75,
nitroglycerin dạng bôi/dán lên da,4917,1,1,75,
ativan,6470,1,1,75,
lovenox,67108,1,1,75,
plavix,32968,1,1,76,
nitrates,4917,1,1,76,
9 nitroglycerin,4917,1,1,76,
nitro,4917,1,1,76,
dilaudid 3mg,3423,1,1,76,
clonidine,2599,1,1,77,
suboxone,1819,1,1,77,
thở oxy 3L/p,7806,1,1,78,
lợi tiểu,4603,1,1,83,
Ipratropium,7213,1,1,84,
Ceftriaxone 1 gram,2193,1,1,84,
Tylenol 1 gram,161,1,1,84,
octreotide,7512,1,1,89,
taxol,56946,1,1,94,
fulvestrant,282357,1,1,94,
compazine,8745,1,1,94,
aleve,7258,1,1,94,
morphine,7052,1,1,94,
lorazepam,6470,1,1,94,
vancozosyn,11124,1,1,96,
vancozosynbactrim,11124,1,1,96,
zosyn 8 ngày,1740938,1,1,96,
Cefepim,2231,1,1,96,
nitroglycerin,4917,1,1,100,
Laxis 20mg,4603,1,1,100,
Natriclori 0.9 %,3535,1,1,100,
